Column1;bus0;zone_bus0;bus1;zone_bus1;loading_percent;loading_MW;rated_capacity_MW;type;;
2;FI1 0;FI;FI1 7;FI;38.63;2762.18;7149.91;AC Line;;
100;SE1 6;SE_3;SE1 8;SE_3;34.65;619.40;1787.48;AC Line;;
60;SE1 0;SE_4;SE1 22;SE_4;33.38;1193.33;3574.95;AC Line;;
91;SE1 21;SE_3;SE1 22;SE_4;32.75;585.46;1787.48;AC Line;;
42;NO1 17;NO_4;SE1 20;SE_2;31.90;156.80;491.56;AC Line;;
65;SE1 10;SE_3;SE1 22;SE_4;26.04;1862.18;7149.91;AC Line;;
86;SE1 18;SE_3;SE1 8;SE_3;25.45;454.86;1787.48;AC Line;;
28;NO1 11;NO_1;NO1 23;NO_1;23.84;1134.47;4759.16;AC Line;;
40;NO1 17;NO_4;NO1 2;NO_4;22.21;640.23;2882.31;AC Line;;
23;NO1 10;NO_2;NO1 20;NO_2;20.86;391.48;1876.85;AC Line;;
38;NO1 16;NO_1;NO1 26;NO_1;20.48;205.92;1005.46;AC Line;;
72;SE1 14;SE_1;SE1 3;SE_1;20.08;359.00;1787.48;AC Line;;
73;SE1 15;SE_2;SE1 16;SE_3;20.02;98.43;491.56;AC Line;;
43;NO1 18;NO_3;NO1 2;NO_4;19.78;570.11;2882.31;AC Line;;
67;SE1 11;SE_2;SE1 15;SE_2;19.20;437.58;2279.03;AC Line;;
1;FI1 0;FI;FI1 4;FI;19.06;681.41;3574.95;AC Line;;
77;SE1 16;SE_3;SE1 23;SE_3;18.93;186.12;983.11;AC Line;;
78;SE1 16;SE_3;SE1 4;SE_2;18.57;1087.24;5853.99;AC Line;;
76;SE1 16;SE_3;SE1 2;SE_3;18.07;734.95;4066.51;AC Line;;
39;NO1 16;NO_1;NO1 5;NO_1;18.01;181.04;1005.46;AC Line;;
33;NO1 13;NO_4;NO1 8;NO_4;17.70;332.21;1876.85;AC Line;;
92;SE1 21;SE_3;SE1 5;SE_4;17.52;313.16;1787.48;AC Line;;
47;NO1 20;NO_2;NO1 25;NO_2;16.32;612.49;3753.70;AC Line;;
34;NO1 13;NO_4;SE1 14;SE_1;16.17;289.03;1787.48;AC Line;;
94;SE1 23;SE_3;SE1 7;SE_3;15.99;935.83;5853.99;AC Line;;
87;SE1 19;SE_3;SE1 6;SE_3;15.97;285.52;1787.48;AC Line;;
79;SE1 16;SE_3;SE1 7;SE_3;15.81;282.55;1787.48;AC Line;;
54;NO1 24;NO_3;NO1 6;NO_3;15.25;439.59;2882.31;AC Line;;
49;NO1 22;NO_2;NO1 25;NO_2;15.20;723.35;4759.16;AC Line;;
52;NO1 22;NO_2;NO1 7;NO_5;15.05;453.87;3016.37;AC Line;;
74;SE1 15;SE_2;SE1 25;SE_3;14.72;526.28;3574.95;AC Line;;
45;NO1 18;NO_3;NO1 9;NO_3;14.47;145.51;1005.46;AC Line;;
99;SE1 5;SE_4;SE1 9;SE_4;14.43;257.86;1787.48;AC Line;;
35;NO1 14;NO_5;NO1 7;NO_5;14.16;408.05;2882.31;AC Line;;
