Snapshot,DK_2<->SE_4,NO_1<->NO_2,NO_1<->NO_3,NO_1<->NO_5,NO_1<->SE_3,NO_2<->NO_5,NO_3<->NO_4,NO_3<->NO_5,NO_3<->SE_2,NO_4<->SE_1,NO_4<->SE_2,SE_1<->SE_2,SE_2<->SE_3,SE_3<->SE_4
2023-07-01 00:00:00,-1061.94,1698.29,-255.61,-557.17,-462.95,-727.48,-703.14,-83.97,374.41,334.79,138.49,1241.49,3706.51,3747.92
2023-07-01 01:00:00,-999.64,1836.68,-215.82,-423.8,-617.03,-660.97,-645.29,-82.85,221.02,284.54,88.99,1213.95,3692.75,3746.13
2023-07-01 02:00:00,-1131.86,2056.73,-280.09,-208.26,-902.44,-472.07,-691.25,-83.37,261.12,291.68,107.04,1300.7,4063.19,3862.55
2023-07-01 03:00:00,-1261.84,2004.44,-232.26,-290.91,-737.71,-507.62,-599.11,-81.28,208.97,264.47,73.59,1278.16,3900.71,3920.08
2023-07-01 04:00:00,-1175.43,1920.11,-161.84,-69.72,-833.35,-313.8,-498.41,-80.49,41.22,247.82,15.58,1137.8,3646.76,3834.8
2023-07-01 05:00:00,-1010.1,1728.23,-89.83,-21.46,-781.46,-265.46,-461.97,-60.34,-88.09,246.52,-10.37,756.55,3341.12,3760.08
2023-07-01 06:00:00,-1121.37,1721.64,-135.16,-80.19,-681.62,-321.7,-565.57,-59.58,37.92,277.4,46.27,747.85,3820.69,3995.92
2023-07-01 07:00:00,-1151.92,1560.95,-175.22,-287.79,-395.08,-366.96,-624.09,-58.34,165.44,312.55,102.34,410.2,3972.64,4181.78
2023-07-01 08:00:00,-933.39,1002.65,-70.46,-601.73,192.88,-543.63,-540.72,-93.52,110.6,253.34,94.13,235.9,3531.39,3972.35
2023-07-01 09:00:00,-1132.69,1002.08,-87.94,-553.36,-43.88,-542.32,-554.64,-95.06,59.73,256.82,87.8,298.39,3383.04,3815.1
2023-07-01 10:00:00,-1225.38,1058.59,-183.02,-146.45,-544.42,-292.31,-628.94,-55.48,91.62,229.5,108.29,310.23,3277.88,3768.6
2023-07-01 11:00:00,-1107.83,1294.76,-304.5,-16.74,-1114.05,-247.38,-691.69,-44.54,101.01,221.1,119.76,382.86,3152.18,3426.85
2023-07-01 12:00:00,-521.35,775.99,-187.81,10.07,-872.25,-153.82,-447.52,-44.51,-133.84,265.08,-23.28,527.74,2684.64,2737.3
2023-07-01 13:00:00,498.08,822.57,-146.54,68.33,-1060.63,-137.77,-243.56,-36.48,-264.94,269.88,-110.14,538.05,2356.38,1719.96
2023-07-01 14:00:00,940.84,-97.4,39.22,97.48,-447.86,28.87,-196.12,-35.81,-433.56,215.01,-142.46,332.86,1578.97,1033.88
2023-07-01 15:00:00,486.11,-363.83,62.46,22.93,-118.94,39.26,-193.75,-37.61,-406.36,288.18,-137.62,347.44,1427.95,1451.58
2023-07-01 16:00:00,416.45,-273.26,9.2,-126.11,120.72,-46.61,-173.59,-38.63,-219.77,301.63,-102.46,527.63,1839.51,1899.81
2023-07-01 17:00:00,-231.89,383.03,-113.14,-256.96,31.74,-225.07,-631.88,-65.34,117.96,351.77,43.9,607.5,3321.81,2994.21
2023-07-01 18:00:00,-470.25,765.13,-147.08,-616.04,143.65,-531.88,-679.15,-96.77,231.9,446.19,70.15,1078.99,4088.88,3321.58
2023-07-01 19:00:00,-1126.01,793.89,-251.6,-812.26,415.97,-596.86,-718.63,-99.05,458.53,582.72,116.51,1486.19,4735.57,4109.76
2023-07-01 20:00:00,-1297.7,975.93,-308.77,-795.24,374.5,-577.61,-744.55,-99.75,603.79,663.77,152.38,1505.83,4830.86,4229.23
2023-07-01 21:00:00,-1228.55,1001.39,-286.17,-716.5,299.31,-546.19,-552.59,-100.34,548.83,668.09,95.77,1394.14,4540.77,4117.52
2023-07-01 22:00:00,-899.07,1124.5,-230.99,-721.94,163.33,-566.17,-528.19,-72.71,450.36,627.93,68.06,1354.25,4337.81,3705.59
2023-07-01 23:00:00,-600.36,908.28,-44.81,-504.21,57.49,-376.38,-418.51,-72.11,54.79,377.86,-21.12,1584.1,3791.05,3361.17
