Snapshot,DK_2<->SE_4,NO_1<->NO_2,NO_1<->NO_3,NO_1<->NO_5,NO_1<->SE_3,NO_2<->NO_5,NO_3<->NO_4,NO_3<->NO_5,NO_3<->SE_2,NO_4<->SE_1,NO_4<->SE_2,SE_1<->SE_2,SE_2<->SE_3,SE_3<->SE_4
2023-01-02 00:00:00,-1022.03,-1176.01,0.0,-343.37,-1748.94,133.64,-1258.9,498.53,-382.49,196.95,27.5,2764.11,5076.7,2690.4
2023-01-02 01:00:00,-919.09,-1132.62,0.0,-268.68,-1750.22,134.66,-1300.54,504.64,-416.86,174.48,20.36,2855.95,4675.4,2519.65
2023-01-02 02:00:00,-834.55,-1056.18,0.0,-123.21,-1948.19,148.59,-1296.49,510.03,-515.16,180.7,-8.36,2695.48,4522.56,2454.36
2023-01-02 03:00:00,-337.03,-1135.68,0.0,-88.49,-1886.59,158.15,-1262.85,452.17,-535.55,188.89,-0.47,2579.52,4196.01,2179.51
2023-01-02 04:00:00,-697.89,-1195.76,0.0,-138.84,-1789.76,140.34,-1276.97,460.33,-504.17,215.56,11.14,2761.55,4347.24,2389.93
2023-01-02 05:00:00,-303.46,-1482.97,0.0,-188.38,-1639.56,203.43,-1296.06,472.07,-480.05,137.22,16.48,2684.43,4971.87,2815.5
2023-01-02 06:00:00,-432.41,-1627.5,0.0,-631.84,-1481.41,225.98,-1297.15,465.23,-447.6,94.58,-6.0,2838.82,6093.69,3405.34
2023-01-02 07:00:00,-653.1,-2034.09,0.0,-1337.32,-743.99,109.26,-1274.25,408.4,-329.8,173.09,11.72,2810.25,7075.43,3848.29
2023-01-02 08:00:00,-562.73,-1629.24,0.0,-1738.42,-786.17,-56.26,-1351.47,379.13,-316.57,241.31,22.38,2894.12,7369.62,3590.3
2023-01-02 09:00:00,-377.22,-836.5,0.0,-1845.28,-1525.01,-197.69,-1334.08,467.17,-400.0,200.16,0.0,3110.0,7282.57,2942.69
2023-01-02 10:00:00,-36.82,-1086.12,0.0,-1536.6,-1588.65,-93.63,-1359.55,483.99,-412.71,258.77,2.56,2789.48,7054.97,2521.82
2023-01-02 11:00:00,-385.21,-1058.38,0.0,-1838.42,-1309.46,-207.68,-1342.47,487.62,-255.91,328.16,35.11,2880.87,7288.86,2486.27
2023-01-02 12:00:00,-202.36,-838.16,0.0,-2057.91,-1236.71,-306.15,-1332.62,440.65,-135.76,361.17,62.76,3093.79,7273.05,2624.59
2023-01-02 13:00:00,149.97,-861.23,0.0,-1877.44,-1445.88,-244.22,-1300.98,478.17,-159.55,329.8,53.5,2889.48,6776.91,2123.56
2023-01-02 14:00:00,48.8,-627.79,0.0,-1946.8,-1574.54,-306.16,-1396.07,583.56,-122.55,359.82,75.28,3134.37,6953.54,2149.5
2023-01-02 15:00:00,304.35,-712.25,0.0,-2211.99,-1264.89,-377.29,-1319.1,468.09,-74.04,378.86,74.68,3000.06,6861.74,2295.97
2023-01-02 16:00:00,608.08,-1000.71,0.0,-2415.9,-812.55,-364.98,-1234.82,317.72,20.67,420.74,86.51,2575.81,6613.92,2334.5
2023-01-02 17:00:00,489.03,-467.51,0.0,-2557.24,-1025.86,-358.07,-1255.52,408.95,38.51,332.58,81.16,3240.15,7244.28,2436.54
2023-01-02 18:00:00,-61.44,-483.71,0.0,-2650.76,-779.33,-395.81,-1234.02,437.75,81.15,308.47,85.6,3378.19,7501.14,2856.49
2023-01-02 19:00:00,-750.92,-285.05,0.0,-2440.93,-1120.71,-380.88,-1250.24,469.7,-59.28,235.8,49.61,3080.64,7271.11,2661.61
2023-01-02 20:00:00,-462.13,-176.97,0.0,-2205.0,-1427.34,-330.11,-1244.59,546.48,-159.55,185.3,28.53,3030.65,7231.25,2710.85
2023-01-02 21:00:00,-296.43,-82.14,0.0,-1713.18,-2032.78,-170.07,-1270.65,633.19,-290.64,165.07,9.87,2994.56,6833.69,2237.92
2023-01-02 22:00:00,-374.12,-365.57,0.0,-1377.82,-1985.25,-28.06,-1301.91,632.36,-370.29,164.0,-12.29,2694.11,6476.2,2244.33
2023-01-02 23:00:00,-314.02,-899.7,0.0,-1051.82,-1604.03,131.0,-1300.63,630.73,-360.75,201.22,-6.07,2426.43,6501.27,2479.32
