Snapshot,DE_LU<->DK_2,DE_LU<->NO_2,DE_LU<->SE_4,DK_1<->DK_2,DK_1<->NL,DK_1<->NO_2,DK_1<->SE_3,EE<->FI,FI<->SE_3,GB<->NO_2,LT<->SE_4,NL<->NO_2,PL<->SE_4,SE_3<->SE_4
2023-07-01 00:00:00,-729.175,-1402.96,-617.24,204.06,-696.865,-1631.32,-714.02,-999.5,-16.4975,-537.75,-655.43,-214.8275,-597.8,3747.92
2023-07-01 01:00:00,-747.2075,-1407.16,-616.99,345.8,-669.45,-1491.49,-713.46,-1011.9,11.78,-103.09,-731.78,-76.655,-597.8,3746.13
2023-07-01 02:00:00,-744.48,-1407.12,-617.09,178.84,-698.2,-1157.74,-714.3,-987.32125,-8.8425,346.01,-733.82,248.955,-597.6,3862.55
2023-07-01 03:00:00,-763.4825,-1403.4,-616.95,98.83,-697.9775,-1116.77,-714.64,-1005.1125,18.46,795.07,-620.58,565.87,-597.6,3920.08
2023-07-01 04:00:00,-755.405,-1319.28,-616.96,133.87,-697.85,-1006.04,-705.77,-944.15875,74.76,1229.35,-670.05,640.3875,-597.7,3834.8
2023-07-01 05:00:00,-756.5625,-1280.2,-616.98,93.1,-669.715,-843.86,-590.02,-986.24625,29.83,1351.77,-733.14,448.8875,-597.7,3760.08
2023-07-01 06:00:00,-732.5775,-1105.96,-617.11,-120.97,-30.49,-583.55,-702.84,-1007.9875,119.09,1183.26,-734.27,161.355,-597.7,3995.92
2023-07-01 07:00:00,-720.215,-920.04,-617.04,-182.16,-201.5325,-476.0,-693.11,-1005.275,186.1,744.96,-734.27,111.8475,-597.7,4181.78
2023-07-01 08:00:00,-643.28,-413.12,-617.01,12.88,114.35,-336.31,-692.07,-1012.55,47.83,295.88,-734.33,0.0,-597.7,3972.35
2023-07-01 09:00:00,-684.45,132.9225,-265.89,-119.85,684.65,3.630000000000001,-364.15,-986.27375,42.55,-153.17,-656.67,0.0,-597.7,3815.1
2023-07-01 10:00:00,-588.2,690.645,-223.76,-472.49,700.22,306.57,208.2,-955.685,74.64,-568.12,-614.65,0.0,-597.8,3768.6
2023-07-01 11:00:00,-559.16,380.9575,-15.72,-590.73,699.32,249.84,680.37,-846.58875,75.22,-291.07,-596.49,0.0,-597.9,3426.85
2023-07-01 12:00:00,-7.762499999999999,696.065,0.0,-554.81,646.78,594.82,711.4,-840.82,-233.07,-290.0,-599.37,0.0,-597.8,2737.3
2023-07-01 13:00:00,480.1475,782.5875,0.0,-59.42,-5.737500000000001,505.26,711.46,-641.19875,-586.215,-202.41,-609.95,14.035,-589.1,1719.96
2023-07-01 14:00:00,973.7750000000001,1165.1175,0.0,485.42,-687.6075,692.17,709.85,-625.4375,-1011.175,232.27,-568.14,340.9575,-391.5,1033.88
2023-07-01 15:00:00,447.575,787.7275,319.88,448.03,-596.175,529.75,682.8,-460.1825,-748.8575,654.95,-611.26,524.695,-588.9,1451.58
2023-07-01 16:00:00,-32.0925,203.82999999999998,36.3,476.53,-605.265,836.04,575.85,-602.2225,-704.7825,841.45,-624.84,323.335,-597.9,1899.81
2023-07-01 17:00:00,-453.84499999999997,-373.32,-465.92,316.23,-515.325,771.02,96.86000000000001,-823.9925,-344.1175,808.93,-603.63,-10.525,-597.9,2994.21
2023-07-01 18:00:00,-501.91499999999996,-735.44,-601.48,119.66,154.64,751.53,-339.11,-982.7425,-315.71,556.53,-572.67,-302.6725,-597.8,3321.58
2023-07-01 19:00:00,-563.2675,-798.24,-617.01,-338.45,686.08,1025.34,-683.25,-966.04,51.03,123.43,-730.53,-600.415,-597.9,4109.76
2023-07-01 20:00:00,-581.25,-824.72,-617.09,-462.02,700.08,873.24,-704.54,-1000.7125,184.21,-154.2,-727.77,-623.03,-597.9,4229.23
2023-07-01 21:00:00,-580.4125,-812.0,-617.15,-392.53,700.04,995.45,-580.16,-994.6,171.75,-590.32,-695.59,-623.15,-597.9,4117.52
2023-07-01 22:00:00,-537.84,-756.4399999999999,-617.19,-244.22,700.04,1000.7,-552.89,-970.57875,186.82,-887.38,-668.49,-622.91,-597.8,3705.59
2023-07-01 23:00:00,-375.7425,-434.15999999999997,-616.99,-130.64,699.96,1301.55,-183.39,-957.10125,54.25,-608.02,-661.8,-623.09,-597.8,3361.17
