Snapshot,DE_LU<->DK_2,DE_LU<->NO_2,DE_LU<->SE_4,DK_1<->DK_2,DK_1<->NL,DK_1<->NO_2,DK_1<->SE_3,EE<->FI,FI<->SE_3,GB<->NO_2,LT<->SE_4,NL<->NO_2,PL<->SE_4,SE_3<->SE_4
2023-01-02 00:00:00,-513.78,1398.12,0.0,-587.99,12.83,1612.47,370.88,-876.75,578.31,-1253.83,-310.53,649.09,-597.3,2690.4
2023-01-02 01:00:00,-420.1575,1399.35,0.0,-430.44,409.1,1612.4,379.11,-898.405,578.35,-1260.0,-191.7,649.09,-597.3,2519.65
2023-01-02 02:00:00,-204.185,1399.3975,0.0,-530.79,205.77,1612.44,590.05,-930.93,578.3,-1260.0,-72.84,649.09,-597.4,2454.36
2023-01-02 03:00:00,173.835,1399.4975,0.0,-444.96,-55.27,1612.53,525.92,-767.905,578.09,-1265.33,-305.4,649.09,-588.4,2179.51
2023-01-02 04:00:00,132.5475,1399.3775,0.0,-584.23,-82.995,1612.2,599.61,-373.12,460.88,-1357.97,-472.03,649.09,-150.7,2389.93
2023-01-02 05:00:00,392.0075,1399.485,0.0,-498.52,-115.52,1597.64,531.92,-627.425,272.05,-1011.43,-667.03,634.69,-530.4,2815.5
2023-01-02 06:00:00,276.2575,1378.1975,0.0,-511.11,-90.9575,1358.69,568.99,-983.735,170.37,-686.17,-730.84,305.6925,-596.1,3405.34
2023-01-02 07:00:00,28.285,900.8025,0.0,-573.38,554.65,922.11,242.24,-945.57,-3.35,-437.8,-701.98,-13.1825,-589.9,3848.29
2023-01-02 08:00:00,-53.352500000000006,527.6575,0.0,-593.93,586.72,495.34999999999997,102.43,-761.975,61.39,-34.27,-656.95,-326.0075,-368.3,3590.3
2023-01-02 09:00:00,78.345,580.55,0.0,-579.55,691.57,93.82,534.56,-383.415,-9.17,-440.52,-726.02,-608.205,172.39000000000001,2942.69
2023-01-02 10:00:00,269.8725,1135.065,0.0,-387.77,470.37,81.81,671.33,-254.155,-160.46,-885.85,-732.82,-349.3925,209.26,2521.82
2023-01-02 11:00:00,-49.99,1188.8200000000002,0.0,-454.16,675.88,145.33999999999997,320.55,-194.15,-194.46,-1254.67,-598.41,-618.7375,423.53,2486.27
2023-01-02 12:00:00,121.925,899.9725,0.0,-456.42,625.45,222.93,611.04,-257.2,-304.97,-1374.07,-685.83,-576.5275,218.18,2624.59
2023-01-02 13:00:00,201.4275,949.5525,0.0,-123.83,417.7,298.53000000000003,708.95,-200.515,-304.6,-1367.22,-684.26,-306.595,392.56,2123.56
2023-01-02 14:00:00,152.53,1054.895,0.0,-237.53,301.16,6.98,649.4,-148.92,-304.6,-1378.48,-624.7,-432.325,378.71,2149.5
2023-01-02 15:00:00,251.8325,856.03,0.0,-93.11,360.77,50.88,632.6,-161.42,-304.6,-1360.17,-704.39,-511.1425,1.1199999999999992,2295.97
2023-01-02 16:00:00,102.8625,744.7875,0.0,490.22,643.63,81.0,701.98,-608.49,-530.37,-1055.3,-600.08,-535.6825,-519.5,2334.5
2023-01-02 17:00:00,75.5475,179.6225,0.0,507.05,698.16,181.74,605.95,-560.795,-805.5,-1365.65,-553.38,-619.5225,-593.4,2436.54
2023-01-02 18:00:00,-15.675000000000002,-246.44,0.0,8.350000000000001,671.13,386.43,65.32000000000001,-257.345,-567.32,-1379.0,-612.19,-619.4625,-578.1,2856.49
2023-01-02 19:00:00,-370.3075,-767.44,0.0,-471.25,647.99,796.73,-75.48,1.1300000000000001,-365.86,-1373.65,-432.77,-618.9225,-157.1,2661.61
2023-01-02 20:00:00,-409.7725,-722.9200000000001,0.0,-302.42,696.49,1028.8500000000001,127.34,-197.59,-493.77,-1264.58,-628.61,-617.4625,-572.1,2710.85
2023-01-02 21:00:00,-369.6325,-144.3625,0.0,-444.67,625.91,873.26,669.43,-295.155,-743.76,-1260.0,-598.56,-554.1625,-595.9,2237.92
2023-01-02 22:00:00,-351.0025,454.015,-148.19,-570.34,698.12,627.91,598.91,-213.715,-727.79,-1260.0,-567.27,-256.285,-597.6,2244.33
2023-01-02 23:00:00,-346.23,1010.21,-548.01,-599.94,699.29,919.75,208.03,-303.065,-762.66,-1260.0,-440.96,0.0,-593.0,2479.32
