Zone,DK_2,DK_2,DK_2,DK_2,DK_2,DK_2,DK_2,DK_2,FI,FI,FI,FI,FI,FI,FI,FI,FI,FI,FI,FI,NO_1,NO_1,NO_1,NO_1,NO_1,NO_1,NO_2,NO_2,NO_2,NO_2,NO_2,NO_2,NO_3,NO_3,NO_3,NO_3,NO_3,NO_3,NO_3,NO_3,NO_4,NO_4,NO_4,NO_4,NO_4,NO_5,NO_5,NO_5,NO_5,NO_5,SE_1,SE_1,SE_1,SE_1,SE_2,SE_2,SE_2,SE_2,SE_2,SE_3,SE_3,SE_3,SE_3,SE_3,SE_3,SE_4,SE_4,SE_4,SE_4,SE_4
Technology,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Run-of-river and poundage,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Onshore,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Onshore,Biomass,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other renewable,Wind Onshore,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Hydro Water Reservoir,Other,Solar,Wind Onshore,Fossil Gas,Hydro Water Reservoir,Other,Solar,Wind Onshore,Fossil Gas,Hydro Water Reservoir,Nuclear,Other,Solar,Wind Onshore,Fossil Gas,Hydro Water Reservoir,Other,Solar,Wind Onshore
Snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01 00:00:00,289.49,35.41,57.43,11.64,18.13,24.69,149.41,77.27,331.7875,141.8025,0.0,0.2,40.1,630.4025,4238.7,31.1,2.0,0.0,18.4,1680.55,0.0,0.44,1761.17,754.08,20.76,114.16,14.0,0.61,535.61,4139.17,4.81,65.57,0.0,0.0,799.96,1293.35,0.0,25.0,0.0,84.18,25.26,315.92,2099.44,34.03,233.75,0.0,0.11,453.89,2582.28,21.05,1612.09,1.5,0.0,399.3,0.11,1535.45,77.7,0.0,1248.23,0.1,681.26,5159.0,205.12,0.05,1501.32,0.0,16.3,60.21,0.19,583.51
2023-07-01 01:00:00,210.44,35.72,57.88,11.73,18.12,24.86,120.65,78.61,328.3125,144.23250000000002,0.0,0.2,40.1,582.2425000000001,4242.95,31.825000000000003,2.0,0.15,18.4,1760.225,0.0,0.44,1756.4,743.71,19.64,156.47,14.0,0.6,525.49,3307.92,4.87,41.95,0.0,0.0,792.9,1124.58,0.0,25.0,0.0,87.7,25.26,324.64,1922.99,33.33,218.67,0.0,0.11,446.92,2339.19,20.71,1590.33,1.5,0.0,376.92,0.1,1529.82,77.6,0.0,1435.68,0.1,641.58,5139.57,203.99,0.05,1498.84,0.0,14.61,56.69,0.19,595.18
2023-07-01 02:00:00,194.23,35.78,58.0,11.75,18.12,24.98,107.26,88.05,326.9475,142.45,0.0,0.2,40.1,581.5799999999999,4245.65,34.1,2.0,2.005,18.4,1649.475,0.0,0.44,1746.13,732.54,21.76,167.37,0.0,0.6,527.35,2341.39,4.84,30.96,0.0,0.0,787.32,1099.64,0.0,25.0,0.0,122.97,25.26,325.44,1949.6,32.29,239.22,0.0,0.11,438.71,1896.04,20.74,1453.33,1.5,0.01,359.51,0.14,1568.77,80.4,0.0,1621.8,0.1,618.01,5153.0,203.76,0.27,1490.24,0.0,13.17,56.73,0.18,583.04
2023-07-01 03:00:00,171.51,35.85,58.11,11.77,18.12,24.67,81.21,89.62,325.04499999999996,148.7825,0.0,0.2,40.1,578.7475,4245.15,34.1,2.0,24.1,19.9875,1646.325,0.0,0.44,1739.93,721.33,22.03,177.94,14.0,0.6,514.03,1531.95,4.87,46.68,0.0,0.0,777.98,1067.9,0.0,25.0,0.0,130.64,25.26,323.14,1803.76,28.24,277.01,0.0,0.11,438.71,2022.33,20.77,1451.2,1.5,0.04,333.2,0.15,1572.12,85.5,0.01,1728.81,0.1,616.48,5167.0,203.93,0.06,1424.17,0.0,13.14,56.69,0.19,552.57
2023-07-01 04:00:00,138.33,35.81,58.02,11.76,18.3,24.75,107.51,112.33,325.87,151.7175,0.0,0.2,40.1,549.5550000000001,4248.3,34.1,2.0,71.405,20.060000000000002,1585.55,0.0,0.44,1750.2,716.87,21.08,212.75,0.0,0.6,500.24,969.15,4.87,77.22,0.0,0.0,768.17,883.15,0.0,25.0,0.0,162.26,25.26,323.44,1647.48,19.49,256.93,0.0,0.11,414.08,1606.9,20.87,1449.11,1.8,0.12,287.17,0.17,1633.84,83.0,0.13,1837.74,0.1,574.53,5172.0,204.11,1.83,1352.32,0.0,13.28,55.58,0.34,517.4
2023-07-01 05:00:00,136.85,35.97,58.3,11.81,22.14,24.87,226.27,186.32,321.7325,141.285,0.0,0.3375,40.33,491.9825,4249.575,32.6,1.955,118.205,16.485,1466.5,0.0,0.44,1753.68,715.99,21.81,169.85,0.0,0.6,482.82,1034.71,4.9,110.12,0.0,0.0,770.8,744.18,0.0,25.0,0.0,168.35,25.26,320.86,1607.36,36.38,239.51,0.0,0.11,383.58,1512.52,21.09,1432.6,2.2,0.39,291.57,0.14,1651.22,81.1,0.74,1843.65,0.1,634.76,5175.0,211.34,19.65,1225.34,0.0,29.34,56.98,3.13,470.93
2023-07-01 06:00:00,135.98,35.92,58.25,11.8,37.82,24.49,310.72,181.19,323.85249999999996,144.7725,0.0,0.5,40.6,595.7025,4251.6,32.667500000000004,1.9,149.75,18.7925,1452.2,0.0,0.44,1751.56,777.31,22.72,130.47,14.0,0.6,484.62,1002.49,4.86,124.03,0.0,0.0,757.58,830.43,0.0,25.0,0.0,189.24,25.26,317.89,1828.65,28.72,234.87,0.0,0.0,365.65,1652.36,20.84,1511.15,2.6,0.91,422.66,0.11,1655.69,69.7,1.89,1921.49,0.1,673.46,5172.0,225.88,65.21,1146.14,0.0,35.82,60.27,14.12,398.86
2023-07-01 07:00:00,141.14,35.79,57.99,11.75,73.62,24.9,349.96,213.35,326.09000000000003,156.66,0.0,0.5,40.6,597.1275,4253.9,26.8,1.9,177.2,19.0,1409.95,0.0,0.44,1746.55,786.12,22.32,59.0,14.0,0.6,474.3,1346.97,4.91,133.66,0.0,0.0,766.48,1028.3,0.0,25.0,0.02,173.04,25.26,320.94,2016.11,26.97,229.15,0.0,0.0,388.2,1962.2,21.16,1513.05,3.1,1.67,432.23,0.12,1875.34,69.9,3.74,2096.3,0.0,706.94,5184.0,261.16,156.88,1117.87,0.0,44.18,61.55,42.36,345.85
