Zone,DK_2,DK_2,DK_2,DK_2,DK_2,DK_2,DK_2,DK_2,FI,FI,FI,FI,FI,FI,FI,FI,FI,FI,FI,FI,NO_1,NO_1,NO_1,NO_1,NO_1,NO_1,NO_2,NO_2,NO_2,NO_2,NO_2,NO_2,NO_3,NO_3,NO_3,NO_3,NO_3,NO_3,NO_3,NO_4,NO_4,NO_4,NO_4,NO_4,NO_5,NO_5,NO_5,NO_5,NO_5,SE_1,SE_1,SE_1,SE_1,SE_2,SE_2,SE_2,SE_2,SE_2,SE_3,SE_3,SE_3,SE_3,SE_3,SE_3,SE_4,SE_4,SE_4,SE_4,SE_4
Technology,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Run-of-river and poundage,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Onshore,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Onshore,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other renewable,Wind Onshore,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Hydro Water Reservoir,Other,Solar,Wind Onshore,Fossil Gas,Hydro Water Reservoir,Other,Solar,Wind Onshore,Fossil Gas,Hydro Water Reservoir,Nuclear,Other,Solar,Wind Onshore,Fossil Gas,Hydro Water Reservoir,Other,Solar,Wind Onshore
Snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02 00:00:00,200.56,65.81,172.6,20.37,0.0,67.97,603.22,213.12,834.44,145.42,594.92,0.5,337.58,627.06,4370.5,101.22,1.7,0.0,24.27,3264.3,0.0,0.0,996.05,604.39,9.37,41.08,0.0,0.73,713.48,2532.0,12.89,271.77,30.42,166.52,1780.25,0.0,21.64,0.0,514.08,195.36,135.38,3316.08,48.71,270.87,6.57,32.44,79.48,1687.0,14.45,2044.22,20.11,0.0,1709.46,0.01,2571.2,120.2,0.0,1870.69,0.2,596.75,5798.0,556.7,0.0,869.35,0.0,190.56,185.08,0.0,662.28
2023-01-02 01:00:00,162.04,67.32,175.6,20.89,0.0,68.27,476.35,192.54,830.76,136.18,593.88,0.5,337.94,686.55,4370.9,104.42,1.7,0.0,24.6,3165.8,0.0,0.0,991.03,605.8,9.16,35.25,0.0,0.73,710.12,2479.87,12.66,218.39,26.24,179.52,1782.3,0.0,21.44,0.0,374.55,195.22,136.5,3357.56,50.23,225.89,6.58,32.42,80.79,1572.42,14.3,1913.2,20.21,0.0,1714.31,0.0,2299.77,120.1,0.0,1797.28,0.2,578.1,5797.0,583.39,0.0,930.36,0.0,190.68,182.07,0.0,644.08
2023-01-02 02:00:00,165.13,66.95,174.61,20.77,0.0,68.06,495.58,156.12,832.43,142.4,593.8,0.5,338.62,678.94,4371.0,108.02,1.7,0.0,24.6,3143.3,0.0,0.0,971.99,594.94,9.0,39.3,0.0,0.73,699.96,2419.1,12.67,198.92,25.25,175.35,1736.81,0.0,21.41,0.0,327.08,195.69,134.1,3315.87,52.02,250.56,6.58,32.42,78.56,1395.06,14.51,1902.88,20.21,0.0,1678.26,0.0,2288.93,120.4,0.0,1749.16,0.2,558.17,5796.0,578.46,0.0,925.74,0.0,190.81,180.93,0.0,606.65
2023-01-02 03:00:00,165.72,67.6,175.33,20.98,0.0,68.22,507.55,150.52,848.63,154.26,595.48,0.5,347.71,714.59,4371.5,109.1,1.7,0.0,22.99,2891.5,0.0,0.0,974.43,604.04,8.81,29.61,0.0,0.73,700.56,2499.96,12.68,188.13,27.09,182.01,1731.96,0.0,21.8,0.0,257.89,192.42,137.94,3311.08,50.76,231.85,6.58,32.42,77.93,1401.44,14.48,1861.4,20.31,0.0,1654.69,0.0,2294.44,121.1,0.0,1754.15,0.2,552.56,5798.0,579.17,0.0,912.01,0.0,190.54,183.73,0.0,570.16
2023-01-02 04:00:00,166.53,68.88,177.04,21.33,0.0,68.47,350.37,103.89,865.84,135.6,602.58,0.5,363.72,858.02,4372.2,110.27,1.7,0.0,24.6,2577.7,0.0,0.0,972.48,613.42,9.05,21.37,0.0,0.75,697.5,2638.81,12.84,198.23,25.9,185.14,1778.26,0.0,21.33,0.0,252.24,195.57,136.17,3398.46,49.53,217.17,6.58,32.42,76.77,1450.7,14.46,1848.02,20.31,0.0,1580.82,0.01,2325.64,121.3,0.0,1783.12,0.1,552.38,5796.0,584.79,0.0,870.8,0.0,190.31,185.1,0.0,501.85
2023-01-02 05:00:00,272.04,68.47,181.11,21.21,0.0,68.44,361.17,92.33,899.99,142.22,667.32,0.5,400.35,833.36,4371.1,113.77,1.7,0.0,23.79,2468.2,0.0,0.0,979.75,595.19,8.86,17.06,0.0,0.73,695.89,2719.22,13.07,217.33,25.52,191.87,1856.45,0.0,20.58,0.0,253.28,195.76,134.38,3397.99,49.82,176.98,8.38,32.42,72.94,1472.29,9.4,3111.02,24.31,0.0,1581.1,0.0,2928.33,121.7,0.0,1656.19,0.1,597.19,5796.0,637.74,0.0,830.17,0.0,191.24,185.07,0.0,449.9
2023-01-02 06:00:00,320.17,68.41,181.7,21.24,0.0,67.97,417.29,134.7,932.87,153.21,709.9,0.5,439.18,1092.0,4370.5,117.97,1.7,0.0,23.02,2392.0,0.0,0.0,993.0,628.11,8.53,3.37,0.0,0.73,709.35,3351.82,13.3,222.79,26.21,200.77,2010.89,0.0,21.06,0.0,283.38,195.47,136.88,3422.92,48.85,133.57,9.77,36.2,74.42,1992.96,9.46,3997.48,29.51,0.0,1466.38,0.01,4129.82,127.5,0.0,1593.36,0.1,690.55,5796.0,744.5,0.0,797.21,0.0,191.99,193.24,0.0,408.5
2023-01-02 07:00:00,328.2,69.09,183.19,26.15,0.0,68.16,632.88,206.69,947.75,166.09,726.97,0.5,463.05,1345.9,4372.2,122.3,1.7,0.0,24.6,2178.3,0.0,0.0,1016.54,711.63,7.46,0.07,0.0,0.73,718.27,4863.61,13.39,264.57,36.55,210.57,2282.69,0.0,20.99,0.01,277.67,195.74,152.73,3631.06,45.98,106.6,6.58,84.73,86.13,2940.49,9.16,4103.38,29.51,0.0,1341.63,0.0,4526.66,136.9,0.0,1627.37,0.1,840.17,5797.0,794.4,0.0,753.6,0.0,208.27,194.41,0.0,370.6
