Snapshot,NO_1,NO_2,NO_3,NO_4,NO_5,FI,SE_1,SE_2,SE_3,SE_4,DK_2
2023-01-01 00:00:00,4444.0,4182.0,3346.0,2478.0,2009.0,9002.0,1339.0,1417.0,8955.0,2061.0,1282.0
2023-01-01 01:00:00,4423.0,4186.0,3418.0,2483.0,2036.0,8809.0,1346.0,1288.0,8943.0,2018.0,1266.0
2023-01-01 02:00:00,4415.0,4155.0,3483.0,2422.0,2046.0,8632.0,1445.0,1485.0,8929.0,1943.0,1215.0
2023-01-01 03:00:00,4379.0,4168.0,3412.0,2445.0,2039.0,8587.0,1417.0,1624.0,8887.0,1891.0,1166.0
2023-01-01 04:00:00,4349.0,4209.0,3373.0,2439.0,2037.0,8628.0,1427.0,1760.0,8859.0,1844.0,1121.0
2023-01-01 05:00:00,4360.0,4218.0,3595.0,2414.0,2027.0,8825.0,1265.0,1514.0,8880.0,1782.0,1099.0
2023-01-01 06:00:00,4427.0,4246.0,3442.0,2258.0,2096.0,8868.0,1246.0,1420.0,8979.0,1843.0,1099.0
2023-01-01 07:00:00,4548.0,4181.0,3485.0,2235.0,2090.0,9056.0,1269.0,1543.0,9119.0,1973.0,1136.0
2023-01-01 08:00:00,4709.0,4053.0,3523.0,2319.0,2106.0,9157.0,1318.0,1592.0,9269.0,2076.0,1205.0
2023-01-01 09:00:00,4841.0,4056.0,3534.0,2325.0,2150.0,9296.0,1276.0,1603.0,9415.0,2044.0,1300.0
2023-01-01 10:00:00,4997.0,4201.0,3589.0,2400.0,2189.0,9450.0,1339.0,1529.0,9623.0,2132.0,1371.0
2023-01-01 11:00:00,5062.0,4442.0,3703.0,2415.0,2259.0,9499.0,1319.0,1544.0,9910.0,2122.0,1432.0
2023-01-01 12:00:00,5061.0,4517.0,3673.0,2418.0,2187.0,9528.0,1337.0,1690.0,10026.0,2222.0,1472.0
2023-01-01 13:00:00,5119.0,4514.0,3672.0,2482.0,2179.0,9551.0,1374.0,1567.0,10295.0,2195.0,1497.0
2023-01-01 14:00:00,5252.0,4429.0,3665.0,2503.0,2245.0,9746.0,1113.0,1802.0,10578.0,2236.0,1485.0
2023-01-01 15:00:00,5442.0,4669.0,3784.0,2631.0,2305.0,10126.0,1186.0,1881.0,11024.0,2330.0,1467.0
2023-01-01 16:00:00,5633.0,4798.0,4017.0,2591.0,2335.0,10055.0,1167.0,1930.0,11586.0,2490.0,1559.0
2023-01-01 17:00:00,5686.0,4772.0,4069.0,2572.0,2365.0,10118.0,1184.0,2153.0,11625.0,2540.0,1658.0
2023-01-01 18:00:00,5685.0,4703.0,3854.0,2696.0,2322.0,10122.0,1304.0,2185.0,11523.0,2553.0,1622.0
2023-01-01 19:00:00,5629.0,4598.0,3768.0,2730.0,2396.0,9984.0,1176.0,1911.0,11400.0,2560.0,1520.0
2023-01-01 20:00:00,5554.0,4529.0,3748.0,2617.0,2246.0,9724.0,1155.0,1845.0,11156.0,2431.0,1442.0
2023-01-01 21:00:00,5465.0,4686.0,3737.0,2617.0,2247.0,10051.0,1177.0,1806.0,10824.0,2338.0,1372.0
2023-01-01 22:00:00,5338.0,4675.0,3746.0,2574.0,2243.0,9990.0,1192.0,1985.0,10436.0,2256.0,1302.0
2023-01-01 23:00:00,5164.0,4626.0,3656.0,2433.0,2199.0,9696.0,1169.0,1870.0,10024.0,2080.0,1237.0
